employer_name,employer_phone,employer_email,employer_hq_address,employer_hq_in_dc,employer_home_url,employer_employment_url,employer_notes,employer_box_present,employer_crime_type_asked,employer_years_specified,Accounting,Administrative,Banking,Construction,Business,Creative,Customer Support,Editorial,Education,Engineering,Hospitality,Human Resources,Software,Maintenance,Legal,Logistics,Manufacturing,Marketing,Medical,Other,Project,Government,Non-profit,Sales,Security,position_title,position_phone,position_location,job_posted,collateral_sanction_applies,which_collateral_sanction
Hyatt,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,,,,,,Hyatt,,"WASHINGTON, District Of Columbia",http://my.jobs/28E66309AC54497A8097EA1ECCA12521,,
Hyatt,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,,,,,,Hyatt,,"WASHINGTON, District Of Columbia",http://my.jobs/8D699FFD80964BF586E0B7CDCBA19CF9,,
Omni Hotels,,,,,,,,,,,,y,,,y,,,,y,,y,,,y,,,,,,,,,,,y,Omni Hotels,,"Washington, District Of Columbia",http://my.jobs/46EFD0F3B1F646D0A4A6094A172FAAC7,,
Lexis Nexis,,,,,,,,,,,,,,,y,,,,,,,,y,,,,y,y,y,,y,y,,,y,Lexis Nexis,,"Washington, District Of Columbia",http://my.jobs/3C1FB5E628EA48B6BB458257B9019AE5,,
Gap Inc.,,,,,,,,,,,,,,,y,,,,y,,,,,y,,y,y,y,,,,,,y,,Gap Inc.,,"WASHINGTON, District Of Columbia",http://my.jobs/691C50F568C54CF79F687DFC57FDFD98,,
Alion Science and Technology,,,,,,,,,,,,y,,y,,,,,,y,,,y,y,,,,,,,y,,,,,Alion Science and Technology,,"Washington, District Of Columbia",http://my.jobs/A6AC9107E6DD4E29AF61B01D0660F767,,
Destination Hotels & Resorts,,,,,,,,,,,,,y,,y,,,,,,y,,,y,,,,,y,,,,,,y,Destination Hotels & Resorts,,"Washington, District Of Columbia",http://my.jobs/D2F8948E158147A590FB58B102235BD8,,
Alion Science and Technology,,,,,,,,,,,,,,y,,,,,,y,,,,y,,,,,,,,,,,,Alion Science and Technology,,"Washington, District Of Columbia",http://my.jobs/AD9FD7D6DE4842B398FF759B77414ADB,,
Alion Science and Technology,,,,,,,,,,,,,,y,,,,,y,y,,,y,y,,,,,,,,,,,,Alion Science and Technology,,"Washington, District Of Columbia",http://my.jobs/E4F1067FB5CB4555A23DDE99542D6EC3,,
Capital One,,,,,,,background check,,,,,,y,,y,,,,,,,,,,,,y,,,,,,,y,,Capital One,,"Washington, District Of Columbia",http://my.jobs/6738861B8C1B4FE9A30B5EDBB0693EBA,,
PwC,,,,,,,,,,,y,,y,y,y,,,,,,,,y,,,,y,,,,,,,y,,PwC,,"Washington, District Of Columbia",http://my.jobs/80058034E6F4474DAC7229AA8FA8DB50,,
SRA International,,,,,,,,,,,,,,,y,,,,y,y,,,y,y,,,y,,,,y,y,,,y,SRA International,,"WASHINGTON, District Of Columbia",http://my.jobs/DD7AF6F5416A4272A09FF651779769B6,,
JPMorgan Chase,,,,,,,,,,,,,y,y,y,,,,,,,,,,,,y,,,,,y,,y,,JPMorgan Chase,,"Washington, District Of Columbia",http://my.jobs/44A72383F12E4FB397210DC269107DAC,,
Hewlett-Packard Company,,,,,,,,,,,,,,,y,,,,y,y,,,y,,,,y,,,,,y,,,,Hewlett-Packard Company,,"Washington, District Of Columbia",http://my.jobs/3CADA01CD4444C6093516EE627CE1D44,,
PwC,,,,,,,,,,,y,,,y,y,,,,,,,,y,,,,y,,,,,,,y,,PwC,,"Washington, District Of Columbia",http://my.jobs/EE0A63B0D4134CEBAFE8268FE5F83DAD,,
Unity Healthcare,,,,,,,,,,,y,,,,y,,,,y,,,y,,,,,,,y,,,y,,,,Unity Healthcare,,"Washington, District Of Columbia",http://my.jobs/AD40E5E25348425DA66D8A59A628083D,,
Accenture,,,,,,,,,,,,,,y,y,,,,y,y,,,y,y,,,,,,,y,y,,,,Accenture,,"WASHINGTON, DC, District Of Columbia",http://my.jobs/D4FD86180D164E2C9182DBCBB73C33C7,,
Alion Science and Technology,,,,,,,,,,,,,,,,,,,y,y,,,y,,,,y,,,,y,,,,y,Alion Science and Technology,,"Washington, District Of Columbia",http://my.jobs/564FA445ADFD4F668DF439AAA2F09F52,,
Unity Healthcare,,,,,,,,,,,,,,,,,,,y,,,,,,,,,,y,,,,,,,Unity Healthcare,,"Washington, District Of Columbia",http://my.jobs/056F4AEDF1B74F7FA43B128C275E0FEF,,
Alion Science and Technology,,,,,,,,,,,,,,y,,,,,y,y,,,y,y,,,,,,,,,,,,Alion Science and Technology,,"Washington, District Of Columbia",http://my.jobs/97F3F3B442C741C4B39FE93CE61BE3DD,,
